Stock Name,Stock Area,Assessment Year,B Year,Estimated B,B Unit,source,Estimated B (Metric Tons)
Blue king crab - Pribilof Islands,Pribilof Islands,2013,2013.0,579.0,mt,AlaskaEco,579.0
Blue king crab - Pribilof Islands,Pribilof Islands,2014,2015.0,218.0,mt,AlaskaEco,218.0
Blue king crab - Pribilof Islands,Pribilof Islands,2015,2015.0,344.0,mt,AlaskaEco,344.0
Blue king crab - Pribilof Islands,Pribilof Islands,2016,2016.0,361.0,metric tons,AlaskaEco,361.0
Blue king crab - Pribilof Islands,Pribilof Islands,2017,2017.0,232.0,metric tons,AlaskaEco,232.0
Blue king crab - Pribilof Islands,Pribilof Islands,2019,2019.0,175.0,Metric Tons,AlaskaEco,175.0
Blue king crab - Pribilof Islands,Pribilof Islands,2021,2021.0,180.0,Metric Tons,AlaskaEco,180.0
Blue king crab - Pribilof Islands,Pribilof Islands,2023,2022.0,180.39999389648438,Metric Tons,AlaskaEco,180.39999389648438
Blue king crab - Saint Matthew Island,Saint Matthew Island,2013,2013.0,2860.0,mt,AlaskaEco,2860.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2014,2014.0,3010.0,mt,AlaskaEco,3010.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2015,2015.0,2480.0,metric tons,AlaskaEco,2480.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2016,2015.0,2110.0,metric tons,AlaskaEco,2110.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2017,2016.0,2120.0,metric tons,AlaskaEco,2120.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2018,2018.0,1310.0,Metric Tons,AlaskaEco,1310.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2019,2019.0,1081.0,Metric Tons,AlaskaEco,1081.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2020,2020.0,1120.0,Metric Tons,AlaskaEco,1120.0
Blue king crab - Saint Matthew Island,Saint Matthew Island,2022,2022.0,1180.0,Metric Tons,AlaskaEco,1180.0
Golden king crab - Aleutian Islands,Aleutian Islands,2017,2016.0,5814.0,mt,AlaskaEco,5814.0
Golden king crab - Aleutian Islands,Aleutian Islands,2018,2017.0,6397.0,mt,AlaskaEco,6397.0
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2017,2016.0,11910.0,mt,AlaskaEco,11910.0
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2018,2017.0,11555.0,mt,AlaskaEco,11555.0
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2019,2019.0,10.234000205993652,Metric Tons,AlaskaEco,10.234000205993652
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2020,2021.0,8470.0,Metric Tons,AlaskaEco,8470.0
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2021,2022.0,8717.5595703125,Metric Tons,AlaskaEco,8717.5595703125
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2022,2023.0,7387.39990234375,Metric Tons,AlaskaEco,7387.39990234375
Golden king crab - Eastern Aleutian Islands,Eastern Aleutian Islands,2023,2023.0,7493.89990234375,Metric Tons,AlaskaEco,7493.89990234375
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2017,2016.0,5814.0,mt,AlaskaEco,5814.0
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2018,2017.0,6397.0,mt,AlaskaEco,6397.0
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2019,2019.0,5744.0,Metric Tons,AlaskaEco,5744.0
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2020,2021.0,6290.0,Metric Tons,AlaskaEco,6290.0
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2021,2022.0,6097.97998046875,Metric Tons,AlaskaEco,6097.97998046875
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2022,2023.0,4553.83984375,Metric Tons,AlaskaEco,4553.83984375
Golden king crab - Western Aleutian Islands,Western Aleutian Islands,2023,2023.0,4574.81982421875,Metric Tons,AlaskaEco,4574.81982421875
Red king crab - Bristol Bay,Bristol Bay,2013,2012.0,29050.0,mt,AlaskaEco,29050.0
Red king crab - Bristol Bay,Bristol Bay,2014,2013.0,27157.0,mt,AlaskaEco,27157.0
Red king crab - Bristol Bay,Bristol Bay,2015,2014.0,27254.0,metric tons,AlaskaEco,27254.0
Red king crab - Bristol Bay,Bristol Bay,2016,2016.0,24000.0,metric tons,AlaskaEco,24000.0
Red king crab - Bristol Bay,Bristol Bay,2017,2016.0,25800.0,metric tons,AlaskaEco,25800.0
Red king crab - Bristol Bay,Bristol Bay,2018,2018.0,20.799999237060547,Thousand Metric Tons,AlaskaEco,20799.999237060547
Red king crab - Bristol Bay,Bristol Bay,2019,2019.0,16.0,Thousand Metric Tons,AlaskaEco,16000.0
Red king crab - Bristol Bay,Bristol Bay,2020,2020.0,14.930000305175781,Thousand Metric Tons,AlaskaEco,14930.000305175781
Red king crab - Bristol Bay,Bristol Bay,2021,2020.0,13.96399974822998,Thousand Metric Tons,AlaskaEco,13963.99974822998
Red king crab - Bristol Bay,Bristol Bay,2022,2022.0,16.639999389648438,Thousand Metric Tons,AlaskaEco,16639.999389648438
Red king crab - Bristol Bay,Bristol Bay,2023,2023.0,18.34000015258789,Thousand Metric Tons,AlaskaEco,18340.00015258789
Red king crab - Norton Sound,Norton Sound,2013,2013.0,2080.0,mt,AlaskaEco,2080.0
Red king crab - Norton Sound,Norton Sound,2014,2013.0,2160.0,mt,AlaskaEco,2160.0
Red king crab - Norton Sound,Norton Sound,2015,2014.0,2330.0,mt,AlaskaEco,2330.0
Red king crab - Norton Sound,Norton Sound,2016,2015.0,2660.0,mt,AlaskaEco,2660.0
Red king crab - Norton Sound,Norton Sound,2017,2016.0,2660.0,mt,AlaskaEco,2660.0
Red king crab - Norton Sound,Norton Sound,2018,2017.0,2330.0,mt,AlaskaEco,2330.0
Red king crab - Norton Sound,Norton Sound,2019,2019.0,3.119999885559082,Million Pounds,AlaskaEco,1415208.142490473
Red king crab - Norton Sound,Norton Sound,2020,2020.0,1.659999966621399,Thousand Metric Tons,AlaskaEco,1659.999966621399
Red king crab - Norton Sound,Norton Sound,2021,2021.0,2.190000057220459,Thousand Metric Tons,AlaskaEco,2190.000057220459
Red king crab - Norton Sound,Norton Sound,2022,2022.0,2.4200000762939453,Thousand Metric Tons,AlaskaEco,2420.0000762939453
Red king crab - Norton Sound,Norton Sound,2023,2023.0,2.4000000953674316,Thousand Metric Tons,AlaskaEco,2400.0000953674316
Red king crab - Pribilof Islands,Pribilof Islands,2013,2012.0,4025.0,mt,AlaskaEco,4025.0
Red king crab - Pribilof Islands,Pribilof Islands,2014,2013.0,4679.0,mt,AlaskaEco,4679.0
Red king crab - Pribilof Islands,Pribilof Islands,2015,2015.0,8894.0,metric tons,AlaskaEco,8894.0
Red king crab - Pribilof Islands,Pribilof Islands,2016,2016.0,9062.0,metric tons,AlaskaEco,9062.0
Red king crab - Pribilof Islands,Pribilof Islands,2017,2016.0,4788.0,metric tons,AlaskaEco,4788.0
Red king crab - Pribilof Islands,Pribilof Islands,2019,2020.0,5368.0,Metric Tons,AlaskaEco,5368.0
Red king crab - Pribilof Islands,Pribilof Islands,2022,2022.0,3879.0,Metric Tons,AlaskaEco,3879.0
Snow crab - Bering Sea,Bering Sea,2013,2013.0,170100.0,mt,AlaskaEco,170100.0
Snow crab - Bering Sea,Bering Sea,2014,2013.0,126500.0,metric tons,AlaskaEco,126500.0
Snow crab - Bering Sea,Bering Sea,2015,2015.0,168000.0,metric tons,AlaskaEco,168000.0
Snow crab - Bering Sea,Bering Sea,2016,2016.0,91600.0,metric tons,AlaskaEco,91600.0
Snow crab - Bering Sea,Bering Sea,2017,2017.0,94400.0,Metric Tons,AlaskaEco,94400.0
Snow crab - Bering Sea,Bering Sea,2018,2018.0,123.0999984741211,Thousand Metric Tons,AlaskaEco,123099.9984741211
Snow crab - Bering Sea,Bering Sea,2021,2020.0,26.739999771118164,Thousand Metric Tons,AlaskaEco,26739.999771118164
Snow crab - Bering Sea,Bering Sea,2022,2021.0,41200.0,Metric Tons,AlaskaEco,41200.0
Southern Tanner crab - Bering Sea,Bering Sea,2013,2013.0,59350.0,mt,AlaskaEco,59350.0
Southern Tanner crab - Bering Sea,Bering Sea,2014,2013.0,87500.0,metric tons,AlaskaEco,87500.0
Southern Tanner crab - Bering Sea,Bering Sea,2015,2014.0,71567.0,metric tons,AlaskaEco,71567.0
Southern Tanner crab - Bering Sea,Bering Sea,2016,2016.0,53700.0,metric tons,AlaskaEco,53700.0
Southern Tanner crab - Bering Sea,Bering Sea,2017,2017.0,43310.0,metric tons,AlaskaEco,43310.0
Southern Tanner crab - Bering Sea,Bering Sea,2018,2018.0,23.530000686645508,Thousand Metric Tons,AlaskaEco,23530.000686645508
Southern Tanner crab - Bering Sea,Bering Sea,2019,2019.0,39.54999923706055,Thousand Metric Tons,AlaskaEco,39549.99923706055
